horizon,model,accuracy,precision,recall,f1_score,correlation
1d,dual,0.5067218200620476,0.52228875582169,0.7688540646425074,0.6220285261489699,0.0
1d,triple,0.5041365046535677,0.5217086834733894,0.7296767874632712,0.6084115965700286,0.0
3d,dual,0.5398138572905895,0.5713337757133378,0.779185520361991,0.6592649310872895,0.0
3d,triple,0.5268872802481903,0.5665266106442577,0.7321266968325791,0.638768258981445,0.0
5d,dual,0.5563598759048604,0.5916611515552614,0.7876651982378855,0.6757369614512472,0.0
5d,triple,0.5392967942088935,0.5860366713681241,0.73215859030837,0.6509988249118684,0.0
