date,current_price,vgt_pred_1d,vgt_actual_1d,vgt_return_1d,vgt_pred_3d,vgt_actual_3d,vgt_return_3d,vgt_pred_5d,vgt_actual_5d,vgt_return_5d
2015-11-25,111.66999816894533,-1,0,-0.002238739178823801,-1,1,0.0008954820073498348,-1,1,0.004477478357647602
2015-11-27,111.41999816894533,-1,1,0.0017052813186923274,1,1,0.012116303144019862,1,0,-0.007269768191573391
2015-11-30,111.61000061035156,1,1,0.0014335277469750725,1,1,0.005017449650849888,1,1,0.012633240973068054
2015-12-01,111.7699966430664,1,1,0.008946944887128029,1,0,-0.01037842057398687,1,1,0.004652449566779115
2015-12-02,112.7699966430664,1,0,-0.005320550607269794,1,1,0.0022169017242350967,1,0,-0.0059412803838768844
2015-12-03,112.16999816894533,1,0,-0.01390744034999597,1,1,0.0010698292639826417,1,0,-0.015601319680546219
2015-12-04,110.61000061035156,-1,1,0.021788229087933857,-1,1,0.013470733708956224,-1,1,0.0006328514097998092
2015-12-07,113.0199966430664,1,0,-0.006458996188475348,1,0,-0.023004765097739764,1,0,-0.0411431077207489
2015-12-08,112.29000091552734,1,0,-0.0016920691055046261,1,0,-0.014337880463307872,1,0,-0.03001160138129464
2015-12-09,112.0999984741211,-1,0,-0.014986622016445472,-1,0,-0.03327382496263047,-1,0,-0.023728778491722575
2015-12-10,110.41999816894533,-1,1,0.002354665282937651,-1,0,-0.013584495787664866,-1,1,0.004347069053552804
2015-12-11,110.68000030517578,-1,0,-0.020870957284282843,-1,0,-0.011203450129657786,-1,0,-0.01328154333800072
2015-12-14,108.37000274658205,-1,1,0.005075162945685428,-1,1,0.023345932593663757,-1,0,-0.012180489631535785
2015-12-15,108.91999816894533,-1,1,0.004774185468258389,-1,1,0.002662513040787151,-1,0,-0.007528458580694567
2015-12-16,109.44000244140624,1,1,0.013340634611684594,1,0,-0.021838444228179127,1,0,-0.0057566234352907095
2015-12-17,110.9000015258789,1,0,-0.015238975817433888,1,0,-0.025247998315892015,1,0,-0.013886392194214526
2015-12-18,109.20999908447266,-1,0,-0.019778372409326058,-1,0,-0.0036626822564982857,-1,1,0.0009156530991613718
2015-12-21,107.0500030517578,-1,1,0.009808457659320488,-1,1,0.02157867811995203,-1,1,0.020924780942664006
2015-12-22,108.0999984741211,-1,1,0.006567984222891943,-1,1,0.011193331189198321,-1,1,0.023589297759040003
2015-12-23,108.80999755859376,1,1,0.005054710634118191,1,1,0.004411390200382089,1,1,0.009098479141412718
2015-12-24,109.36000061035156,1,0,-0.00045723346268036877,1,1,0.01179591174403521,1,0,-0.009784196130691472
2015-12-28,109.30999755859376,1,0,-0.0001829351707349696,1,1,0.004482714336365939,1,0,-0.024700366009933486
2015-12-29,109.29000091552734,-1,1,0.012443961926606049,-1,0,-0.009149967898462386,-1,0,-0.029188419934883827
2015-12-30,110.6500015258789,1,0,-0.00768186590510177,1,0,-0.03651153059028621,1,0,-0.05413463878144264
2015-12-31,109.8000030517578,1,0,-0.013752295940453354,1,0,-0.03369767281238223,1,0,-0.07750457103556717
2016-01-04,108.29000091552734,-1,0,-0.015513900553812736,-1,0,-0.033521075101380624,-1,0,-0.07267524868451232
2016-01-05,106.61000061035156,-1,0,-0.00478381139959349,-1,0,-0.04990150702904752,-1,0,-0.05346587482983967
2016-01-06,106.0999984741211,-1,0,-0.013572053088793858,-1,0,-0.05353440515422042,-1,0,-0.03807729475616089
2016-01-07,104.66000366210938,-1,0,-0.03219952826928948,-1,0,-0.03583030640918688,-1,0,-0.05216899028108757
2016-01-08,101.29000091552734,-1,0,-0.008589226367048529,-1,1,0.007601901827492067,-1,0,-0.0017770787200001687
2016-01-11,100.41999816894533,-1,1,0.004879560865353426,-1,0,-0.012148986685407129,-1,0,-0.02310296491861208
2016-01-12,100.91000366210938,-1,1,0.011396232828759668,-1,1,0.0019819338121507195,-1,0,-0.03042322081860656
2016-01-13,102.05999755859376,1,0,-0.02802273837709632,1,0,-0.03880069742505325,1,0,-0.04644324884534962
2016-01-14,99.1999969482422,-1,1,0.01925406976681571,-1,0,-0.013709683993852941,-1,0,-0.016431424431075713
2016-01-15,101.11000061035156,-1,0,-0.02976957885531164,-1,0,-0.03748393722331089,-1,0,-0.008011052850402586
2016-01-19,98.0999984741211,-1,0,-0.0026503785960716162,-1,0,-0.005402637997356232,-1,1,0.007339462098901686
2016-01-20,97.83999633789062,-1,0,-0.005314765561423334,-1,1,0.02514316032240573,-1,1,0.02044153796871574
2016-01-21,97.31999969482422,-1,1,0.002568845055322126,-1,1,0.015413070331932755,-1,1,0.0012330738487291546
2016-01-22,97.56999969482422,-1,1,0.027979946351054438,-1,1,0.02326531362269567,-1,1,0.009736568117388052
2016-01-25,100.3000030517578,1,0,-0.014755765821560879,1,0,-0.028514461847779973,1,1,0.016251218383082758
2016-01-26,98.81999969482422,1,1,0.010321763268734654,1,0,-0.0030358535993147287,1,1,0.034001220610482816
2016-01-27,99.83999633789062,-1,0,-0.024038401287215985,-1,1,0.020933534094010893,-1,1,0.002704369815350917
2016-01-28,97.44000244140624,-1,1,0.011083684057885828,-1,1,0.048645297054665575,-1,1,0.025040997032804522
2016-01-29,98.5199966430664,-1,1,0.034612299820346804,-1,1,0.01613889587355215,-1,1,0.016240419793277
2016-02-01,101.93000030517578,1,1,0.002452663585318419,1,0,-0.02011187133935221,1,0,-0.054547214185688676
2016-02-02,102.18000030517578,1,0,-0.02025836453945837,1,0,-0.020160477123128268,1,0,-0.07388924475639674
