date,pos_mean,pos_std,pos_count,neg_mean,neg_std,neg_count,neu_mean,neu_std,neu_count,eng_mean,eng_std,sentiment_dist,sentiment_score,sentiment_strength,volume_weighted_sentiment,sentiment_pred_1d,sentiment_pred_3d,sentiment_pred_5d
2025-09-02,0.04858576711267233,0.026314893644858884,10,0.1995716705918312,0.26376476614936695,10,0.751842574775219,0.2504293455265808,10,2.3835145,1.2555915847053705,"{'NEUTRAL': 8, 'NEGATIVE': 2}",-0.15098590347915886,0.24815743770450355,-1.5098590347915886,-0.15098590347915886,-0.15098590347915886,-0.15098590347915886
2025-09-03,0.10152990836650133,0.08125513598289509,10,0.060724421963095666,0.06438439285563728,10,0.8377456784248352,0.07023835347799874,10,3.0647745,4.197506920177215,{'NEUTRAL': 10},0.040805486403405665,0.162254330329597,0.40805486403405666,0.040805486403405665,-0.05509020853787659,-0.05509020853787659
2025-09-04,0.05190912103280425,0.043740748544981015,10,0.14373570289462806,0.26852735956841806,10,0.8043552070856095,0.25437728471516907,10,2.9196972000000003,2.5331949262438793,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.09182658186182381,0.19564482392743232,-0.9182658186182381,-0.09182658186182381,-0.06733566631252567,-0.06733566631252567
2025-09-05,0.07598951030522585,0.06302471448994504,10,0.06786037925630808,0.08646560966686066,10,0.856150096654892,0.08181590287824665,10,2.5369965,2.6695085942217585,{'NEUTRAL': 10},0.00812913104891777,0.14384988956153394,0.0812913104891777,0.00812913104891777,-0.01429732146983346,-0.04846946697216481
2025-09-06,0.04621642995625734,0.021508877320013383,10,0.20284757632762193,0.22743825238588225,10,0.7509359836578369,0.22314201956275154,10,5.6627205,11.696799161218395,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.1566311463713646,0.24906400628387926,-1.566311463713646,-0.1566311463713646,-0.08010953239475689,-0.07010180285200476
2025-09-07,0.05028182957321405,0.029872018926786547,10,0.16580740530043842,0.2743717406623564,10,0.7839107856154441,0.26083122845871415,10,1.8357026,0.8367905637707813,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.11552557572722436,0.21608923487365247,-1.1552557572722435,-0.11552557572722436,-0.08800919701655707,-0.06300973730161788
2025-09-08,0.06542440000921487,0.04661521670613289,10,0.04265304654836655,0.04459648572357068,10,0.8919225573539734,0.05007167321619596,10,1.5524067000000001,0.5676790273610317,{'NEUTRAL': 10},0.022771353460848326,0.10807744655758142,0.22771353460848326,0.022771353460848326,-0.0831284562125802,-0.06661656389012933
2025-09-09,0.11946926359087229,0.11423319997160504,10,0.0208327510394156,0.012475140772716784,10,0.8596979856491089,0.10786768116511049,10,3.2920999,3.924577634787793,{'NEUTRAL': 10},0.0986365125514567,0.14030201463028788,0.9863651255145669,0.0986365125514567,0.0019607634283602218,-0.028523945007473232
2025-09-10,0.08278151825070382,0.08987323070247479,10,0.029881297051906584,0.02812991491858691,10,0.8873371839523315,0.09288853659338743,10,2.3021827000000004,1.10551915798376,{'NEUTRAL': 10},0.05290022119879723,0.11266281530261041,0.5290022119879724,0.05290022119879723,0.05810269573703408,-0.019569726977497343
2025-09-11,0.11122618801891804,0.22272170403452612,10,0.09073343863710762,0.0957067199520001,10,0.7980403870344162,0.2123234928689366,10,2.5488411,3.0190892052793905,"{'NEUTRAL': 9, 'POSITIVE': 1}",0.02049274938181042,0.20195962665602565,0.2049274938181042,0.02049274938181042,0.05734316104402145,0.015855052173137662
2025-09-12,0.08461713027209043,0.07223088722671572,10,0.04845986813306809,0.0360406389755666,10,0.8669230222702027,0.08637399246358546,10,2.0929258,1.2559465463139567,{'NEUTRAL': 10},0.036157262139022345,0.13307699840515852,0.36157262139022345,0.036157262139022345,0.036516744239876664,0.046191619746387004
2025-09-13,0.10467748157680035,0.10097633599394414,10,0.12000626055523753,0.16758682564019192,10,0.7753162696957588,0.2213583741973658,10,2.3086726,1.7062078763971944,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.01532877897843718,0.22468374213203787,-0.1532877897843718,-0.01532877897843718,0.013773744180798528,0.0385715932585299
2025-09-14,0.15519733242690564,0.1503515986475107,10,0.16054850118234754,0.215704784890239,10,0.6842541694641113,0.21424944364165172,10,1.7267222,0.9536078608542751,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.005351168755441893,0.3157458336092532,-0.05351168755441893,-0.005351168755441893,0.005159104801714424,0.017774056997150185
2025-09-15,0.0518523819744587,0.03187924653708068,10,0.06872484683990479,0.1074932326235298,10,0.8794227778911591,0.09821889253434124,10,1.9180452,0.6840263905248101,{'NEUTRAL': 10},-0.016872464865446093,0.12057722881436349,-0.16872464865446093,-0.016872464865446093,-0.012517470866441721,0.00381951978430152
2025-09-16,0.08418024610728025,0.08645064301435569,10,0.05716885617002845,0.05861869799490348,10,0.8586508929729462,0.09357932299481857,10,2.085041,0.7835849137387021,{'NEUTRAL': 10},0.027011389937251808,0.1413491022773087,0.27011389937251806,0.027011389937251808,0.0015959187721212738,0.005123247895389797
2025-09-17,0.12959473431110383,0.1859549514210144,10,0.06815861361101269,0.07984045197324649,10,0.8022466540336609,0.20373727258440122,10,3.5152978,3.044609587874127,"{'NEUTRAL': 9, 'POSITIVE': 1}",0.061436120700091135,0.19775334792211652,0.6143612070009113,0.061436120700091135,0.023858348590632284,0.010179019607603555
