date,open,close,high,low,volume,turnover,amplitude,pct_change,change_amount,turnover_rate,SMA_20,SMA_50,EMA_12,EMA_26,EMA_50,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D,Williams_R,ATR,Volume_SMA,Price_Change,Price_Change_5d,Price_Change_10d,Volatility_20d
2015-09-01,101.31999969482422,99.08000183105467,101.31999969482422,98.51000213623048,540700,53572556.99005126,2.8360895303425373,-2.2108151110505503,-2.2399978637695455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-09-02,100.06999969482422,101.4000015258789,101.4000015258789,99.47000122070312,414000,41979600.63171387,1.9033533295196392,1.329071485071142,1.3300018310546875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0234154183684831,null,null,null
2015-09-03,101.80999755859376,101.5,102.73999786376952,101.16999816894533,269900,27394850.0,1.546797728890828,-0.3044863628597517,-0.3099975585937642,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0009861782309299,null,null,null
2015-09-04,100.5,100.02999877929688,100.72000122070312,99.55999755859376,354900,35500646.56677246,1.1596557795314557,-0.4676629061722636,-0.470001220703125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.0144827706473213,null,null,null
2015-09-08,102.16999816894533,102.81999969482422,102.93000030517578,101.68000030517578,275800,28357755.91583252,1.2157167902257082,0.6361960825369386,0.650001525878892,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0278916420031465,null,null,null
2015-09-09,103.58999633789062,101.58000183105467,104.0199966430664,101.33999633789062,269100,27335178.492736813,2.6383148817353743,-1.940336497628339,-2.0099945068359517,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.0120598897826291,0.0252321351816571,null,null
2015-09-10,101.45999908447266,102.58000183105467,103.25,101.29000091552734,289900,29737942.53082275,1.910702914297759,1.1038860207849353,1.120002746582017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0098444573929341,0.0116370837023569,null,null
2015-09-11,102.0199966430664,103.08000183105467,103.08000183105467,101.83999633789062,212700,21925116.38946533,1.2029544733578716,1.0390170778939232,1.060005187988267,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0048742444050984,0.0155665205030017,null,null
2015-09-14,103.5,102.77999877929688,103.58999633789062,102.52999877929688,255900,26301401.68762207,1.0313266892227937,-0.6956533533363527,-0.720001220703125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.0029103904387729,0.0274917528097498,null,null
2015-09-15,103.12999725341795,104.08999633789062,104.4000015258789,102.86000061035156,383700,39939331.59484863,1.4794898354384471,0.9308630951610484,0.9599990844726703,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0127456467615527,0.0123516499400488,null,null
2015-09-16,104.18000030517578,104.66000366210938,104.79000091552734,103.91000366210938,235300,24626498.861694336,0.8408152327788986,0.4607442460429199,0.4800033569335937,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0054761009152928,0.0303209467959775,0.0563181442060265,null
2015-09-17,104.4800033569336,104.08999633789062,105.6999969482422,103.93000030517578,335800,34953420.77026367,1.700448367123354,-0.3732838883155403,-0.3900070190429687,null,null,null,102.30750020345052,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.0054462765552636,0.0147201645533487,0.0265285480427255,null
2015-09-18,102.9000015258789,102.79000091552734,103.8499984741211,102.5500030517578,216000,22202640.197753903,1.2647100017360926,-0.1069004943832754,-0.1100006103515625,null,null,null,102.38173108223155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.0124891485070602,-0.0028133576869996,0.0127093686258852,null
2015-09-21,103.3499984741211,103.63999938964844,104.18000030517578,102.83999633789062,158900,16468395.903015137,1.2929409254888475,0.2806007932355801,0.2900009155273437,null,null,null,102.57531082183417,null,null,null,null,null,null,null,null,null,null,null,-28.65089075102391,null,null,0.0082692719773358,0.0083673926889051,0.0360891797901203,null
2015-09-22,102.11000061035156,102.0199966430664,102.4000015258789,101.3000030517578,279300,28494185.062408447,1.0782184966831865,-0.0881441256950026,-0.0900039672851562,null,null,null,102.4898778712545,null,null,null,null,null,59.22206071060542,null,null,null,null,null,-59.06906627413434,1.8007136753627233,null,-0.0156310570833893,-0.0198866343323206,-0.0077806171380302,null
2015-09-23,101.3000030517578,101.18000030517578,101.55999755859376,100.62999725341795,208700,21116266.063690186,0.9191542818450024,-0.1184627275092018,-0.120002746582017,null,null,null,102.28835824570392,null,null,null,null,null,56.04164174838849,null,null,null,null,null,-73.61558782378357,1.7713769406688469,null,-0.0082336440455834,-0.0332505564223812,-0.0039377979786234,null
2015-09-24,100.16999816894533,101.08000183105467,101.33999633789062,99.37000274658205,341000,34468280.62438964,1.9489449501605975,0.9084592979372396,0.9100036621093466,null,null,null,102.10245725883482,null,null,null,null,null,55.65843559155471,null,null,null,null,null,-72.98577170854044,1.7855638442859705,null,-0.0009883225323136,-0.0289172313645308,-0.0146227332152951,null
2015-09-25,102.0,100.83999633789062,102.22000122070312,100.31999969482422,331600,33438542.78564453,1.8841745288372056,-1.1372584922640931,-1.160003662109375,null,null,null,101.90823250176648,null,null,null,null,null,54.691814094098504,null,null,null,25.54043643729189,34.401704295163945,-76.77733115580031,1.7937379643997515,null,-0.0023744112466993,-0.0189707613607206,-0.0217307475104177,null
2015-09-28,100.3000030517578,98.45999908447266,100.58000183105467,98.38999938964844,342600,33732395.68634033,2.2242560042351287,-1.8345004100704216,-1.840003967285142,null,null,null,101.37773505295203,null,null,null,null,null,46.135268578834854,null,null,null,17.064828539988756,24.682818791709284,-99.04241151569298,1.840613606102783,null,-0.0236017189592427,-0.0499807056704127,-0.0420315211727206,null
